t_s,d1_m,d2_m,vs_mps,vus_mps,u_N,road_amp_m,road_freq_rads
10.2,0.04548,0.02181,-0.00081,-0.00049,0.0000,0.0150,25.00
10.3,5.23087,16.56433,-0.02842,-0.09312,0.0000,0.0150,25.00
10.5,-5.42530,-7.42799,-0.02158,0.07889,0.0000,0.0150,25.00
10.5,4.32842,21.96380,0.06480,-0.06274,0.0000,0.0150,25.00
10.7,1.15185,-13.84066,-0.13449,-0.03745,0.0000,0.0150,25.00
10.8,-6.21203,20.72346,0.12499,0.03409,0.0000,0.0150,25.00
10.9,11.24590,4.66473,-0.17151,-0.21266,0.0000,0.0150,25.00
11.0,-11.07805,-3.83859,-0.03635,0.07245,0.0000,0.0150,25.00
11.1,9.44010,18.76489,-0.01129,-0.12679,0.0000,0.0150,25.00
11.2,-1.84797,-14.85463,-0.17253,-0.03680,0.0000,0.0150,25.00
11.3,-2.57243,25.99061,0.11012,-0.02422,0.0000,0.0150,25.00
11.4,7.81682,0.11982,-0.19623,-0.16909,0.0000,0.0150,25.00
11.5,-13.57107,-8.46018,0.02597,0.12299,0.0000,0.0150,25.00
11.6,5.69995,8.71132,-0.02352,-0.08173,0.0000,0.0150,25.00
11.7,-4.36766,-13.87229,-0.09119,0.03973,0.0000,0.0150,25.00
11.8,-1.11678,20.98220,0.17374,0.02434,0.0000,0.0150,25.00
11.9,7.60686,-2.06505,-0.15264,-0.11279,0.0000,0.0150,25.00
12.0,-13.47901,-8.99212,0.05044,0.14790,0.0000,0.0150,25.00
12.1,10.22508,26.31435,-0.08661,-0.17351,0.0000,0.0150,25.00
12.2,-6.37259,-11.21124,-0.09231,0.05697,0.0000,0.0150,25.00
12.3,5.24058,33.99369,0.15621,-0.05325,0.0000,0.0150,25.00
12.4,4.85973,-7.97370,-0.14631,-0.08635,0.0000,0.0150,25.00
12.5,-14.29141,-1.52189,0.12115,0.16944,0.0000,0.0150,25.00
12.6,10.62892,17.05833,-0.07732,-0.14576,0.0000,0.0150,25.00
12.7,-8.55142,-6.33509,-0.04296,0.09859,0.0000,0.0150,25.00
12.8,10.79653,37.40523,0.09822,-0.09702,0.0000,0.0150,25.00
12.9,4.08744,-9.39609,-0.16268,-0.08095,0.0000,0.0150,25.00
13.0,-12.25265,9.38252,0.13351,0.12270,0.0000,0.0150,25.00
13.1,10.62407,10.51925,-0.11042,-0.14240,0.0000,0.0150,25.00
13.2,-9.66183,-8.66948,-0.03478,0.11206,0.0000,0.0150,25.00
13.3,10.69665,31.88795,0.08120,-0.08624,0.0000,0.0150,25.00
13.4,3.54944,-8.62769,-0.15876,-0.06518,0.0000,0.0150,25.00
13.5,-10.63928,10.10719,0.12716,0.12306,0.0000,0.0150,25.00
13.6,10.71408,8.27580,-0.15588,-0.17083,0.0000,0.0150,25.00
13.7,-9.96859,-1.57722,-0.02597,0.08354,0.0000,0.0150,25.00
13.8,8.87744,20.78003,0.01150,-0.10094,0.0000,0.0150,25.00
13.9,2.93974,-7.31491,-0.18028,-0.08342,0.0000,0.0150,25.00
14.0,-8.67827,17.80879,0.12756,0.08471,0.0000,0.0150,25.00
14.1,6.83769,27.96963,-0.06222,-0.15492,0.0000,0.0150,25.00
14.2,6.86233,28.30688,-0.07009,-0.16452,0.0000,0.0150,25.00
